,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state
0,Keerbergen,Maison,None,449000,notariale,5,None,0,0,0,None,None,0,None,None,356,None,0,new
1,Herne,Maison,Bungalow,325000,notariale,5,147,0,0,1,None,None,1,147,586,733,4,0,old
2,Ruisbroek,Maison,Maison deux facades,235000,notariale,5,None,0,0,0,None,None,0,None,None,155,2,0,None
3,Galmaarden,Maison,Fermette,485000,notariale,7,215,0,0,0,None,None,0,None,None,800,4,0,None
4,Tienen,Maison,None,265000,notariale,8,None,0,0,0,None,None,1,None,None,None,3,0,new
5,Geetbets,Maison,None,159000,notariale,5,123,0,0,0,None,None,0,None,None,250,3,0,old
6,Lubbeek,Maison,None,314250,notariale,7,126,0,0,0,None,None,1,63,468,531,3,0,None
7,Lubbeek,Maison,None,314250,notariale,7,126,0,0,0,None,None,1,63,492,555,3,0,None
8,Asse,Maison,None,338827,notariale,5,163,0,0,0,None,None,1,None,None,240,2,0,None
9,Halle,Maison,None,485000,notariale,13,266,0,0,0,True,2,1,None,None,518,2,0,old
0,Machelen,Appartement,App. rez-de-chaussée,230000,notariale,4,35,0,0,0,None,None,1,None,None,None,None,0,None
1,Lembeek,Maison,None,299000,notariale,6,170,0,0,0,None,None,0,None,None,579,4,0,None
2,Herfelingen,Appartement,None,308546,notariale,3,18,0,0,0,True,22,0,None,None,None,None,0,None
3,Herfelingen,Appartement,None,269568,notariale,3,56,0,0,0,True,32,0,None,None,None,None,0,None
4,Tienen,Maison,None,114000,notariale,4,88,0,0,0,None,None,0,41,None,None,2,0,None
5,Averbode,Appartement,None,215000,notariale,4,84,0,0,0,None,None,0,None,None,None,None,0,old
6,Rotselaar,Appartement,None,199000,notariale,5,76,0,0,0,None,None,0,None,None,None,2,0,old
7,Hoegaarden,Appartement,Duplex,255300,notariale,4,101,0,0,0,True,16,0,None,None,101,2,0,old
8,Asse,Maison,None,406133,notariale,5,153,0,0,0,None,None,1,None,None,697,4,0,None
9,Wezembeek-Oppem,Appartement,None,478948,notariale,4,28,0,0,0,True,35,0,None,None,None,None,0,None
0,Leuven,Maison,Maison de ville,2450000.0,notariale,14,490,0,0,0,True,30,1,None,None,521,None,0,None
1,None,Maison,Château,None,notariale,14,300,0,0,0,None,None,0,None,None,000,None,0,new
2,Zichem,Maison,Cottage,100000.0,agence,3,30,0,0,0,None,None,1,None,None,624,4,0,old
3,Begijnendijk,Maison,None,357198.0,notariale,4,None,0,0,0,None,None,0,None,None,695,None,0,None
4,Wemmel,Maison,Villa,1750000.0,notariale,18,850,0,0,0,None,None,1,None,None,000,4,0,new
5,None,Maison,Château,None,notariale,17,550,0,0,0,True,50,1,None,None,000,None,0,new
6,Lubbeek,Maison,Maison unifamiliale,450000.0,notariale,8,204,0,0,0,None,None,0,28,906,934,3,0,old
7,Lubbeek,Maison,Maison unifamiliale,450000.0,notariale,8,204,0,0,0,None,None,1,28,904,932,3,0,old
8,Winksele,Appartement,Duplex,370000.0,notariale,6,153,1,0,0,True,9,0,None,None,916,None,0,old
9,Winksele,Appartement,Duplex,350000.0,notariale,6,127,1,0,0,True,6,0,None,None,916,None,0,old
0,Hoegaarden,Maison,None,238000,notariale,9,265,0,0,0,None,None,0,None,None,861,3,0,None
1,None,Maison,Maison de ville,300000,agence,6,None,0,0,0,None,None,1,None,None,137,2,0,None
2,Rillaar,Appartement,None,525000,notariale,3,72,0,0,0,None,None,0,None,None,None,2,0,old
3,None,Maison,Bungalow,325000,agence,6,None,0,0,0,None,None,1,None,None,100,4,0,old
4,Zellik,Maison,Villa,495000,notariale,6,224,0,0,0,True,35,1,None,None,595,4,0,new
5,Rhode-Saint-Genèse,Maison,Villa,1290000,notariale,9,345,0,0,0,True,45,1,None,None,778,4,0,old
6,Steenokkerzeel,Maison,None,350000,notariale,6,185,0,0,0,None,None,1,None,None,863,4,0,old
7,Tienen,Appartement,None,160000,notariale,7,85,0,0,0,True,30,0,None,None,None,None,0,old
8,Scherpenheuvel,Maison,None,180000,notariale,6,109,0,0,0,True,13,0,None,None,80,2,0,old
9,Halle,Maison,None,365000,notariale,6,162,0,0,0,None,None,1,66,234,300,3,0,old
0,Sint-Joris-Winge,Appartement,None,198500,notariale,3,30,0,0,0,True,10,0,None,None,None,None,0,None
1,Sint-Joris-Winge,Appartement,None,232500,notariale,4,98,0,0,0,True,18,0,None,None,None,None,0,None
2,Kumtich,Maison,None,425000,notariale,8,199,0,0,0,True,50,1,135,586,721,4,0,old
3,Beersel,Appartement,None,264000,notariale,5,108,0,0,0,True,9,0,None,None,None,4,0,old
4,Lot,Appartement,None,261000,notariale,5,108,0,0,0,True,9,0,None,None,None,4,0,old
5,Beersel,Appartement,None,261000,notariale,5,108,0,0,0,True,9,0,None,None,None,4,0,old
6,Wolvertem,Maison,None,340000,notariale,5,140,0,0,0,None,None,1,None,None,483,4,0,old
7,Meensel-Kiezegem,Maison,Maison unifamiliale,256000,notariale,3,148,0,0,0,None,None,0,None,None,408,None,0,None
8,Heverlee,Maison,Usage mixte,745000,notariale,4,None,0,0,0,None,None,0,None,None,600,3,0,old
9,Tienen,Maison,None,225000,notariale,7,150,0,0,0,True,30,0,75,25,100,3,0,new
0,Winksele,Maison,None,429507.0,notariale,3,144,0,0,0,None,None,0,None,None,450,3,0,None
1,Keerbergen,Appartement,None,278000.0,notariale,3,150,0,0,0,None,None,0,None,None,700,None,0,old
2,Teralfene,Maison,None,319000.0,notariale,8,256,0,0,0,None,None,1,256,-50,206,2,0,old
3,Perk,Maison,None,579000.0,notariale,8,160,0,0,0,None,None,1,None,None,215,3,0,new
4,Machelen,Appartement,Duplex,399000.0,notariale,8,133,0,0,0,True,20,0,None,None,824,4,0,old
5,Vilvoorde,Appartement,Duplex,399000.0,notariale,8,133,0,0,0,None,None,0,None,None,824,4,0,old
6,None,Maison,Villa,None,notariale,9,239,0,0,0,None,None,1,None,None,397,4,0,old
7,Opwijk,Maison,Villa,425000.0,notariale,6,155,0,0,0,None,None,1,None,None,550,4,0,new
8,Wemmel,Appartement,Duplex,395000.0,notariale,5,170,0,0,0,None,None,0,None,None,None,2,0,old
9,Ternat,Appartement,None,295000.0,notariale,7,127,0,0,0,True,26,0,None,None,153,2,0,old
0,Keerbergen,Maison,Villa,895000,notariale,5,280,0,0,0,None,None,1,None,None,105,4,0,old
